_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
850,Ontario Research Fund - Research Infrastructure,12950,Evolution of animal energetics laboratory,"Gaining a greater understanding of how organisms respond and adapt to a changing environment is the focus of research being conducted at the new Evolution of Animal Energetics Laboratory at the University of Ottawa. Led by Dr. Charles Darveau, researchers are focusing on pollinating insects, which are in decline worldwide. The goal of Dr. Darveau’s research is to learn how organisms can cope with changes, both within their lifetime and over time. This will enable researchers to predict the ability of a population or species to remain in a given environment—and lead to strategies to ensure their survival.",10,3.7,14900,40600,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Ottawa,Ottawa,"$102,014","$255,035","Evolutionary physiology, Metabolism, Energetics, Insect flight, Biomechanics, Enzyme, Respirometry, Spectrophotometry, Comparative method, Phylogenetics",Capital,Dr.,Charles,A.,Darveau,Not Applicable
851,Ontario Research Fund - Research Infrastructure,13190,Paleoclimate Laboratory,"Climate change is one of the biggest issues facing humans today. Using state-of-the-art equipment and methods, Dr. Jochen Halfar at the University of Toronto, Mississauga, will investigate marine climate change by analyzing climate archives with unprecedented precision. His goal is to determine human impact on climate and ecosystems with a view to predicting future climate evolution. His work will help to assess the consequences of rapid climate change globally and on Ontario.",1.5,3.10,13300,13600,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Toronto,Toronto,"$118,922","$297,305","microsampling, image analysis, isotope analysis, paleoclimatology, geochemistry, coralline red algae, climate teleconnections, climate change",Capital,Dr.,Jochen,"",Halfar,Not Applicable
852,Ontario Research Fund - Research Infrastructure,13207,Behavioural Acoustic Research Facility,"Pests such as grasshoppers cost Ontario’s agricultural sector millions of dollars a year in lost crops.  The growing interest in organic crops, coupled with public concern over pesticide effects, has increased interest in developing alternative pest control.  Dr. Susan Bertram at Carleton University is focused on how genetics and the environment interact to influence survival and reproduction of crop pests. Her research could lead to innovative biological control methods.",6.1,3.7,14100,14900,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,Carleton University,Ottawa,"$85,000","$213,803","bioacoustics, mating, signalling, ecological stoichiometry, social influences, genetic variation, indirect genetic effects, condition, temporally fluctuating selection, rural",Capital,Dr.,Susan,M.,Bertram,Advanced health technologies
853,Ontario Research Fund - Research Infrastructure,13211,Modern Laboratory for Innovation in Organic Synthesis and Catalysis,"Organic molecules are the carbon-containing compounds which make up important goods all around us, including our food, pharmaceuticals, clothing, and fuels.  Research in organic synthesis is therefore an essential endeavor which impacts our ability to make useful organic products.  At the Modern Laboratory for Innovation in Organic Synthesis and Catalysis at the University of Toronto, researchers are inventing better tools for constructing various organic molecules.  These tools for synthesis include novel reagents, catalysts, and procedures.  Ultimately, this research will lead to more efficient, environmentally friendly, and less wasteful processes for synthesizing drug candidates and other innovative materials.",7.4.2,7.4,13100,13100,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Toronto,Toronto,"$380,000","$1,050,000","pharmaceuticals, natural products, green chemistry, novel mechanisms, organic synthesis, carbon dioxide, climate change",Capital,Dr.,Vy,"",Dong,Pharmaceutical research and manufacturing
854,Ontario Research Fund - Research Infrastructure,13215,Cryospheric Remote Sensing Research Facility,"Active radar remote sensors have become invaluable tools for studying the cryosphere, the portion of the earth where water is in a solid form (ice and snow). A great deal remains to be learned about the radar response to snow and ice at higher microwave frequencies, which are sensitive to many more aspects than the frequency currently used on Canada’s Radarsat satellite. Dr. Claude Duguay at the University of Waterloo is developing new approaches to mapping and monitoring snow and ice properties from upcoming remote sensing satellite missions. This research is essential to industries such as agriculture, hydropower generation and recreation that depend on accurate forecasts of snowmelt runoff.",1.4,9.2,13400,13900,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Waterloo,Waterloo,"$243,070","$628,867","cryosphere, snow, ice, remote sensing, radar, scatterometers, field measurements, Arctic",Capital,Dr.,Claude,R.,Duguay,Not Applicable
855,Ontario Research Fund - Research Infrastructure,13223,Multi-Phase Flow Diagnostic Equipment for Flow Measurement of Critical Flows in Fossil and Nuclear Power Plants-Phase Doppler Anemometer,"With nuclear power use on the rise, nuclear safety is a growing issue. Current safety analysis uses analytical models and computer codes to predict a plant’s response to hypothetical accident scenarios. A key element of these predictions involves models to establish the level of fuel cooling during accidents. Research being conducted by Dr. David Novog at McMaster University aims to improve on the current prediction methods by constructing new models based on a unique measurement system, the phase-doppler anemometer. His long-term goal is to improve safety in Ontario’s nuclear power facilities.",5.2,5.7,11500,11200,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,McMaster University,Hamilton,"$106,313","$267,740","Thermalhydraulics, Nuclear Safety Analysis, Critical Heat Flux, Fuel Bundle Subchannel Flow, Post Dryout Heat Transfer, Two-Phase Velocity, Entrainment, Void Distribution, nuclear energy",Capital,Dr.,David,R.,Novog,Bio-economy and clean technologies
856,Ontario Research Fund - Research Infrastructure,14171,Raman Spectrometer and High-Pressure Apparatus for Aqueous Chemistry under Sub-Critical and Super-critical Conditions,"At the new Hydrothermal Chemistry Laboratory at the University of Guelph, Dr. Peter Tremaine is carrying out research on water chemistry under extreme conditions. Dr. Tremaine is one of a small group of international scientists who have pioneered the use of “small-scale flow techniques” for high-precision measurements on the properties of water solutions and very high temperatures and pressures. Among the applications for his research are the development of next-generation CANDU nuclear reactors and new technologies for hydrogen production, which will benefit Ontario’s energy sector.",5.2,1.2,12800,13600,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Guelph,Guelph,"$171,330","$689,504","Hydrothermal chemistry, Generation IV nuclear reactor, supercritical water, hydrometallurgy, Raman spectroscopy, experimental geochemistry, aqueous solution chemistry, Candu-PHW nuclear reactor, nuclear energy",Capital,Dr.,Peter,"",Tremaine,Bio-economy and clean technologies
857,Ontario Research Fund - Research Infrastructure,203579,Catchment Research Facility:  Tracking water and nutrient flows in forests in natural and controlled biomes under changing environmental conditions,"Increasing pressure on our ecosystems from climate change and escalating extraction rates of natural resources has created an urgent need for the development of strategies to protect and conserve healthy ecosystems. At the Catchment Research Facility at the University of Western Ontario Dr. Irena Creed is tracking the fate of water, nutrients and pollutants/contaminants cascading down watershed systems representing a gradient of climate and disturbance conditions. Her findings will guide policy-makers towards watershed management strategies that ensure sustainability of natural resources.",1.4,6.3,13300,13900,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,The University of Western Ontario,London,"$236,325","$590,813","Watershed sciences, Forestry, Ecosystem ecology, Hydrology, Biogeochemistry, rural climate change, water, wastewater",Capital,Dr.,Irena,"",Creed,Not Applicable
858,Ontario Research Fund - Research Infrastructure,203793,Experimental Facility for Advanced Energy Systems,"Ontario’s growing dependence on imported fossil fuels for the energy requirements of society and industry is environmentally and economically unsustainable.  Dr. Greg Naterer at the University of Ontario Institute of Technology is developing new energy technologies that include thermochemical hydrogen production, micro energy sources powered by nanotechnology and “entropy-based design” to improve energy efficiency.  His research will reducee the environmental impact and greenhouse gas emissions of power system, as well as develop technology commercialization opportunities for the province’s energy sector.",5,5.7,11200,11300,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Ontario Institute of Technology,Oshawa,"$125,000","$360,045","heat transfer, energy conversion, thermodynamics, nuclear energy, climate change",Capital,Dr.,Greg,"",Naterer,Bio-economy and clean technologies
859,Ontario Research Fund - Research Infrastructure,203830,High Performance Computer for Numerical Simulations of Earth System Evolution,"How is climate change impacting the evolution of coastlines and landforms? It’s an important question for a country with coastline on three sides—and one that Dr. Glenn Milne at the University of Ottawa hopes to answer. Dr. Milne is investigating the interactions between ice sheets, solid earth and the sea in an effort to more accurately predict how sea levels change as a result of changes to ice sheets and glaciers, and how solid earth deforms as ice sheets grow and melt.  With Ontario on the verge of massive changes in its northern region, Dr. Milne’s research will help guide future environmental, engineering and socio-economic planning.",2.8,1.3,13300,13700,Small Infrastructure Fund - Round 010 - 2007 - June,2007-09-04T00:00:00,University of Ottawa,Ottawa,"$130,000","$353,534","ice sheets, glacial isostasy, sea-level change, landform evolution, lithosphere deformation, high-performance computing, rural, climate change",Capital,Dr.,Glenn,"",Milne,Digital media and information and communications technologies
860,Ontario Research Fund - Research Infrastructure,12787,Environmental Test Pit for Pilot-Scale testing of mine waste management technologies,"Disposing of excavated mining materials carries both economic and environmental risks for mining companies worldwide. Led by Dr. Paul Simms, researchers at Carleton University are testing innovative mine waste management technologies under controlled climate conditions. Their work will lead to new environmentally responsible clean-up techniques.",3.5,3.3,10100,99999,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,Carleton University,Ottawa,"$50,634","$143,626","test pit, pilot scale testing, evaporation, consolidation, non-newtonian flow, rural, water, wastewater",Capital,Dr.,Paul,"",Simms,Bio-economy and clean technologies
861,Ontario Research Fund - Research Infrastructure,13531,The Ecological Genomics Laboratory,"Non-indigenous invasive species like the zebra mussel, the Asian long-horned beetle and purple loosestrife can have serious impacts. They can lower crop yields, kill livestock and timber, reduce the quality of water and forest environments, clog water intake pipes and filtration systems – even cause human disease. It’s estimated they cost North American economies $160 to180 billion a year. At a new ecological genomics laboratory at the University of Windsor, a research team led by Dr. Melania Cristescu is focused on understanding the ecological, evolutionary and genetic factors involved in the establishment of non-indigenous species, with the goal of developing ways to monitor and manage the spread of invasive species and eventually prevent future invasions.",10,3.10,14400,14100,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Windsor,Windsor,"$50,000","$125,000","ecological genomics, recombination, mutation rates, species invasions, population and conservation genetics, phylogenetics, Great Lakes, sequencing, genotyping, rural",Capital,Dr.,Melania,"",Cristescu,Not Applicable
862,Ontario Research Fund - Research Infrastructure,14991,Aquatic Metacommunity Dynamics Laboratory,"What effects will climate change have on ecosystems? How about invasive species? Those are questions Dr. Karl Cottenie at the University of Guelph hopes to answer. By studying zooplankton in a hydrologically dynamic pond system, Dr. Cottenie will investigate the interactions between the fundamental processes that structure ecosystems. By helping them to predict ecosystem responses to stresses, Dr. Cottenie’s research will enable conservation biologists to develop strategies to reduce the negative effects. It will also help policy makers develop more scientific, ecosystem-based management practices.",3.10,N/A,14100,99999,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Guelph,Guelph,"$63,099","$162,340","metacommunity dynamics, aquatic ecology, DNA barcoding, environmental variables, data storage, climate change",Capital,Dr.,Karl,"",Cottenie,Not Applicable
863,Ontario Research Fund - Research Infrastructure,15964,Engineering of Advanced Metallic Manufacturing Processes using a Gleeble 3500 Thermomechanical Simulator,"For Ontario manufacturers to compete successfully in the global marketplace they need to be able to process advanced metals and alloys efficiently and produce tailored products based on customer demands. Using a state-of-the-art Gleeble 3500 thermomechanical simulator, Drs. Mary Wells, Michael Worswick and Norman Zhou at the University of Waterloo will model thermal and mechanical processing of materials, an essential part of most manufacturing processes, to get a greater understanding of these processes and their effect on a product’s final structure and properties. This research will help Ontario manufacturers improve efficiency and reduce energy use.",7.2,7,11100,11200,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Waterloo,Waterloo,"$200,000","$587,645","Thermomechanical processing, light weight metals, process modeling, welding, constitutive behaviour, precipitation reactions, casting, forming, physical metallurgy",Capital,Dr.,Mary,"",Wells,Not Applicable
864,Ontario Research Fund - Research Infrastructure,16084,Infrastructure to Explore the Evolutionary Impacts of Climate Change,The global climate is changing at a rate and scale not seen since the end of the last ice age. How will this dramatic change in climate affect efforts to preserve important plant and tree species? How will it change the threat they face from weed and pest species? These are questions of immense importance to our agriculture and forestry industries and they’re ones Dr. Arthur Weis at the University of Toronto aims to answer through field-based experiments as well as growth chamber-based experiments.,3.1,2.2,14100,14400,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$603,200","$1,508,000","Bio-economy;Evolution, Climate Change, Quantitative Genetics, Plant Ecology, bioeconomy, rural",Capital,Dr.,Arthur,"",Weis,Bio-economy and clean technologies
865,Ontario Research Fund - Research Infrastructure,16184,BioZone: A Modern Collaborative Bioengineering Research Facility,"Motivated by health, environmental and economic security, the 21st century is poised to be the century of biotechnology. With roughly 10% of the world’s forests, 7% of its fresh water and a highly educated research community, Canada has the potential to become a world leader in biotechnologies in the areas of renewable energy and materials, clean soil and water and biomedicals. At BioZone, a unique research facility at the University of Toronto, Dr. Elizabeth Edwards heads a team of multidisciplinary scientists engaged in innovative applied and environmental bioengineering research. Their focus is on developing solutions for pressing problems in energy and the environment.",6.4,3,10900,14600,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$218,144","$545,370","Bioengineering, molecular biology, systems biology, biorefineries, bio-products, environmental engineering, bioremediation, rural, climate change",Capital,Dr.,Elizabeth,"",Edwards,Advanced health technologies
866,Ontario Research Fund - Research Infrastructure,16224,High Temperature Materials Processing Research Laboratory,"Ontario is a leader in the minerals and metals industry, which makes a substantial contribution to the economy. Research and development is key to keeping Ontario competitive internationally. Dr. Mansoor Barati at the University of Toronto is focused on high temperature materials processing research, specifically, novel and advanced processes for extracting and refining metals and alloys with high performance at low cost. His work will lead to innovative solutions for energy efficiency, higher quality materials and environmentally responsible processes.",7.3,7.2,11100,10500,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$92,043","$230,307","Materials Processing, Ferrous/Non-ferrous Metals Production, Chemical Metallurgy, High Temperature Interactions, Physical Chemistry of Metallurgical Melts, Pyrometallurgical Studies",Capital,Dr.,Mansoor,"",Barati,Not Applicable
867,Ontario Research Fund - Research Infrastructure,16334,Geodetic urban monitoring facility for Canada,"Land subsidence is the lowering of the land-surface elevation from changes that take place underground. It can cause great damage to buildings, bridges, roads and pipelines. At a new Goedetic Urban Monitoring Facility at the University of Toronto – the first and only one of its kind in Canada – Dr. Georgia Fotopoulos is using multi-sensor geodetic satellite data and state-of-the-art terrestrial tools to monitor changes in the earth’s surfaces in urban and natural environments. The goal is to lessen the severity of or prevent the hazards of land subsidence.",2.3,N/A,10100,13300,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$149,787","$380,696","geomatics, geodesy, height systems, land deformation, laser scanning, georeferencing, surveying, positioning, geoid, urban monitoring",Capital,Dr.,Georgia,"",Fotopoulos,Not Applicable
868,Ontario Research Fund - Research Infrastructure,16395,Advanced soil biogeochemistry and microbial ecology research facility,"At the Advanced Soil Biogeochemistry and Microbial Ecology Research Facility at the University of Toronto’s Mississauga campus, Dr. Nathan Basiliko is looking for answers in soil microorganisms. These microorganisms are essential to the life giving properties of soil. The way they work is very complex. Using advanced technology, Dr. Basiliko is researching the link between communities of soil microorganisms and larger wetland and forest ecosystem dynamics. The goal is to improve our ability to adapt resource management in the face of climate change",3.1,6.3,14200,14100,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$84,308","$210,770","Bio-economy;soils, biogeochemistry, microbial ecology, molecular fingerprinting, stable isotope probing, greenhouse gases, nutrients, microscopy, environemtal chemistry, biodiversity, climate change",Capital,Dr.,Nathan,"",Basiliko,Bio-economy and clean technologies
869,Ontario Research Fund - Research Infrastructure,16434,The Laboratory for Atmospheric Spectroscopy and Applications (LASAA),"Twenty years ago when people talked about environmental concerns, they were focused on urban smog, industrial pollution and acid rain. Today, ozone depletion and climate change are the topics on everyone’s mind. One big question is: how is human activity changing the earth’s atmosphere? At the University of Toronto’s Laboratory for Atmospheric Spectroscopy and Applications (LASSA) Dr. Kaley Walker is constructing, testing and deploying an instrument to accurately measure the concentrations of ozone and related gases in the atmosphere. The goal is to find out just what effect these gases are having on our atmosphere and what it means for our environment. Her research will help policy makers develop programs to protect the environment and human health.",1.6,3.1,13800,12300,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$211,428","$550,000","atmospheric composition, remote sounding, microwave and millimeter wave measurements, rotational spectroscopy, Arctic, ozone chemistry, atmospheric change, climate change",Capital,Dr.,Kaley,"",Walker,Not Applicable
870,Ontario Research Fund - Research Infrastructure,16524,Expansion of computational infrastructure for 3D simulations of Environmental and Geophysical Fluid Dynamics,"Stratification is the layering of water temperatures in lakes and oceans. It’s a complex phenomenon that occurs naturally with the changing seasons. A seasonal stratification cycle helps keep bodies of water healthy. So how will climate change affect seasonal stratification cycles? That’s one of the questions Drs. Kevin Lamb, Francis Poulin and Marek Stastna are exploring at the University of Waterloo. Using advanced theoretical and numerical methods they’re developing models of complex physical processes, which will provide important insights into the dynamics of coastal oceans and lakes. Their work will lead to the formation of science-based policy to address important issues such as water quality.",1.5,1.6,12100,11600,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Waterloo,Waterloo,"$78,613","$278,804","geophysical fluid dynamics, physical oceanography, internal waves, vortex generation, nonlinear waves, hydrodynamic instability, oscillatory currents, boundary layers, climate change, water, wastewater",Capital,Dr.,Kevin,"",Lamb,Digital media and information and communications technologies
871,Ontario Research Fund - Research Infrastructure,16644,Infrastructure to assess microbial biofilm contamination of drinking water distribution systems,"Municipal water systems can be a significant source of microbial contamination, where communities of micro-organisms (known as biofilms) form on the surface of pipes. How they adhere to surfaces and the impact they have on our drinking water distribution systems is the focus of research being conducted by Dr. Marc Habash at the University of Guelph. His work will help municipal and provincial governments better assess the risk to human health of micro-organisms in our drinking water distribution systems and develop ways to prevent and control contamination.",3.5,N/A,14600,99999,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Guelph,Guelph,"$124,350","$310,875","drinking water, biofilms, risk, pathogens, water distribution system, ecology, gene expression, antibiotic resistance genes, biocide tolerance,water, wastewater",Capital,Dr.,Marc,"",Habash,Bio-economy and clean technologies
872,Ontario Research Fund - Research Infrastructure,16749,Phase Analysis of Materials Using X-ray Diffraction,"While Ontario’s natural resources sector makes vital contributions to the economy, it also generates significant quantities of waste.  Drs. Lionel Catalan, Steve Kinrade and Charles Xu at Lakehead University are exploring how to reduce the environmental impact of wastes produced by the natural resource industries through advances in prediction methods, treatment processes and design of disposal sites. They’re also focused on developing beneficial uses for waste, in particular new biomass-derived products from one of Canada’s richest resources, the Boreal Forest.",3.3,5.5,10600,10900,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,Lakehead University,Thunder Bay,"$136,526","$346,466","X-ray diffraction, phase analysis, industrial waste management, waste utilization, stabilization/solidification, cement chemistry, bioenergy, biomass utilization, silicates",Capital,Dr.,Lionel,"",Catalan,Bio-economy and clean technologies
873,Ontario Research Fund - Research Infrastructure,17020,Tracing elements in natural systems,"At the Queen’s Centre for Isotope Research, scientists led by Dr. Kurt Kyser are analyzing isotopes from tree rings, rocks, ice, lake sediments and mineral deposits. Isotopes are forms of chemical elements that are slightly altered at the atomic level and the researchers have developed a way to measure them that makes it possible to use the isotopes as tracers for things moving around in the near surface environment. Their goal is to answer questions about things as diverse as climate change, and the location of mineral deposits, including uranium, nickel, diamonds, and gold. It’s research that will help to develop ways to protect our natural environment, the safety of our food and the environmentally responsible exploitation of our mineral resources.",1.7,1.5,13000,13600,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,Queen's University,Kingston,"$313,903","$784,757","trace elements, geochemistry, isotopes, ores, environment, ICPMS, climate change",Capital,Dr.,Kurt,"",Kyser,Not Applicable
874,Ontario Research Fund - Research Infrastructure,203725,Environmental Biotechnology Laboratory for the Development of Microbial Conversion Technologies,"While fossil fuels are substantially used in Canada, it is known that this type of energy is not environmentally friendly – and won’t be around forever. At a new Environmental Biotechnology Laboratory at the University of Windsor, Dr. Jerald Lalman is working to refine hydrogen, one of the most promising sources of clean power, from agricultural crops and residues. Lalman's work could create a new fuel source and help ensure Canada remains a dominant player in the energy sector for generations to come.",5.5,6.4,10900,10600,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Windsor,Windsor,"$49,575","$123,937","Bio-economy; Environmental biotechnologies, microbial, hydrogen, biofuels, agriculture, climate change",Capital,Dr.,Jerald,"",Lalman,Bio-economy and clean technologies
875,Ontario Research Fund - Research Infrastructure,203782,Fuel Cell Materials and Manufacturing,"Despite the perception that fuel cell technology is years away, fuel cells are in use in many places – and once the technology is perfected, they have the potential to power everything from phone chargers to automobiles. Dr. Olivera Kesler at the University of Toronto is working to realize the potential of fuel cells. His focus is on the solid oxide fuel cell (SOFC) which can run on both traditional fuels and on renewables like hydrogen, biogas and ethanol. His goal is to reduce the cost and improve the performance and lifetime of fuel cells.",5,7.2,11100,11400,Small Infrastructure Fund - Round 011 - 2007 - October,2008-04-22T00:00:00,University of Toronto,Toronto,"$200,000","$557,473","solid oxide fuel cells, energy efficiency and conversion, electrochemistry, plasma spraying, sol gel processing",Capital,Dr.,Olivera,"",Kesler,Bio-economy and clean technologies
876,Ontario Research Fund - Research Infrastructure,13070,Advanced infrastructure for research on visual communication in temperate and tropical animals,"The ecology and evolution of visual communication in animals and how it contributes to their breeding success and survival is the focus of research being conducted by Dr. Stéphanie Doucet at the University of Windsor. Using sophisticated microspectrophotometry and biochemical and microstructural analysis techniques, Dr. Doucet and her research team are studying the visual signals produced by the colouring and patterning of animals’ fur, feathers, scales and skin with the goal of learning more about how they communicate. Her research will provide critical information on the state of the environment and various species by documenting whether populations of animals are stable or changing and which environmental factors have the greatest impact on their survival.",3.10,3.7,41000,14900,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Windsor,Windsor,"$49,998","$124,998","microspectrophotometry, visual communication, ecology and evolution, temperate and tropical comparisons, mate choice, signal function, sexual selection, speciation",Capital,Dr.,Stéphanie,"",Doucet,Not Applicable
877,Ontario Research Fund - Research Infrastructure,13157,System-Based Approaches to Optimize Nutrient Use Efficiency in the Agro-Ecosystem,"Good crop yields depend on an adequate supply of nitrogen.  But what’s the optimum amount of nitrogen? That’s the question Dr. Laura Van Eerd wants to answer at a new facility at the University of Guelph that’s uniquely dedicated to innovation in soil fertility and plant nutrition in horticultural crops. The goal of Dr. Van Eerd’s research is the development of new approaches to maintaining or improving crop yields by optimizing nitrogen use, while minimizing its environmental impact on ground water – a subject of tremendous interest to the agricultural sector. Dr. Van Eerd’s research will also be used to assess new legislation regarding nutrient management and drinking water source protection in Ontario.",6.1,3.5,14200,14300,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Guelph,Guelph,"$125,219","$313,049","environmental contamination, nitrogen, fertilizers, horticultural production, agricultural research, analytical laboratory, irrigation, field machinery, rural, water, wastewater",Capital,Dr.,Laura,L.,Van Eerd,Not Applicable
878,Ontario Research Fund - Research Infrastructure,14431,Guelph Wind Engineering Laboratory,"Interest in renewable energy, including wind energy, is growing and more and more Ontarians are looking to incorporate some form of renewable energy into their current energy system. Led by Dr. William David Lubitz, researchers at the University of Guelph’s new Wind Engineering Laboratory are using wind tunnels, computer simulation and field data to develop tools to predict wind turbine performance at potential sites. Their research will enable people interested in installing wind turbines to decide where to locate them in order to maximize their performance. In the process, it will help to grow Ontario’s wind energy industry. The researchers will also conduct important related research, including local-scale air quality studies, wind engineering studies and design of buildings for wind comfort.",5.5,3.1,13800,11400,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Guelph,Guelph,"$121,197","$302,991","wind energy, wind tunnel, renewable energy, wind engineering, anemometry, air quality, boundary layer, distributed generation, computational fluid dynamics",Capital,Dr.,William,David,Lubitz,Bio-economy and clean technologies
879,Ontario Research Fund - Research Infrastructure,16559,Laboratory for molecular systematics,"Systematics is the science that names, classifies and determines the evolutionary relationships of organisms. It’s becoming increasing important to the province as pressures on Ontario’s unique biodiversity become ever more threatening as a result of global warming, invasive species and habitat loss. At a new Laboratory for Molecular Systematics at the University of Ottawa, Dr. Julian Starr is using traditional morphological and anatomical sources, together with the latest DNA fragment and sequencing techniques, to study the Cyperaceae (sedges). This group represents one of the most diverse, ecologically significant and economically important plant families on earth and it’s one that dominates vast tracks of land in Ontario. But it’s endangered and Dr. Starr hopes to discover why. In the process he aims to develop new molecular techniques for recognizing biodiveristy and combating its loss on earth.",10,3.7,14100,99999,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Ottawa,Ottawa,"$89,683","$224,675","DNA Sequence and Fragment Analyses, DNA cloning, Mutation detection, Molecular Systematics, Phylogenetics, Phylogeography, Species discovery, DNA Barcoding, Evolution. Climate change",Capital,Dr.,Julian,"",Starr,Not Applicable
880,Ontario Research Fund - Research Infrastructure,17184,Spatial Ecology and Landscape Genetics Laboratory,"What happens to an ecosystem when humans modify the landscape? It’s a question that needs answering as we urbanize the province’s southern regions and mine the north’s natural resources. It’s one Dr. Helene Wagner aims to shed light on at a new Spatial Ecology and Landscape Genetic Laboratory at the University of Toronto Mississauga. Working with a local conservation management agency, Dr. Wagner will use a variety of methods including field data collection of plant species and modeling to evaluate a landscape modification experiment that has been running for nearly 20 years. The goal of her work is the development of conservation best practices based on a scientific understand of how landscape modification affects not only the organisms at the actual location of human activitiy, but the future of organisms in the surrounding landscape.",3.1,1,14100,14300,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Toronto,Toronto,"$37,187","$92,967","Landscape Ecology, Spatial Ecology, Landscape Genetics, Biodiversity, Plant Community Ecology, Biogeography, Numerical Ecology, Land-use Change, Conservation, Fragmentation, rural",Capital,Dr.,Helene,"",Wagner,Bio-economy and clean technologies
881,Ontario Research Fund - Research Infrastructure,17399,Nuclear magnetic resonance equipment for high throughput environmental metabolic profiling,"Developing remediation strategies for industrially contaminated lands is a fast-growing business. But the methods currently available are either prohibitively expensive and/or ineffective in removing all the contaminants, in part, because the effects of contaminants in soil, air and water are poorly understood. Using an innovative form of research involving molecular level technology, Dr. Myrna Simpson at the University of Toronto is focused on developing metabolic profiling methods to assess organism stress after exposure to contaminated soils. This has the potential of becoming a leading diagnostic tool by government and industry for screening potential human health risks from long-term exposure to low levels of organic chemicals in the environment and determining “healthy” contaminant levels. It could also lead to more effective remediation methods.",3,3.5,13600,12900,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,University of Toronto,Toronto,"$200,000","$500,000","metabolomics, metabonomics, earthworm toxicity, soil remediation, environmental health, contaminant bioavailability, organic chemicals in soil, rural",Capital,Dr.,Myrna,"",Simpson,Not Applicable
882,Ontario Research Fund - Research Infrastructure,205607,The ecology of arctic ecosystems and their sensitivity to climate change,"Although Canada’s Arctic occupies a subtantial portion of the country, until recently there has been no long-term research into the ecology of arctic tundra ecosystems and how they’re likely to respond to changes in climate. Dr. Paul Grogan at Queen’s University is changing that. He’s studying the structure and functioning of soil microbial communities from samples he’s obtained at his field research facility at Daring Lake, north of Yellowknife in the Northwest Territories. His work will help answer questions about how arctic ecosystems will response to changes in things like snow accumulation, vegetation distribution and migration patterns. The goal of his research is to develop better land management strategies – and a greater appreciation of the ecological value of the Arctic.",3.5,3.1,13300,14200,Small Infrastructure Fund - Round 012 - 2008 - February,2008-08-11T00:00:00,Queen's University,Kingston,"$50,000","$125,000","Arctic, Ecology, Biogeochemistry, Climate change",Capital,Dr.,Paul,"",Grogan,Bio-economy and clean technologies
